Index,Ag,Au,Pd,Pt,Ru
178,5.73,14.29,37.8,12.67,29.52
179,25.04,3.52,13.96,29.37,28.1
180,23.76,4.13,15.18,29.26,27.68
181,21.27,4.31,15.97,28.94,29.5
182,19.75,4.84,16.63,28.58,30.2
183,17.71,4.98,18.11,28.29,30.91
184,16.86,5.08,18.98,27.8,31.29
185,15.62,6.1,20.41,26.86,31.0
186,14.12,6.26,21.94,26.61,31.08
187,12.99,7.46,22.97,25.41,31.17
188,10.95,7.3,24.9,24.62,32.23
189,10.27,7.95,26.73,23.74,31.31
190,9.05,9.18,27.5,22.64,31.63
191,8.65,9.85,29.11,21.84,30.55
192,8.11,10.22,30.02,20.87,30.78
193,7.56,10.47,32.33,19.51,30.13
194,6.71,11.6,32.88,18.49,30.33
195,6.63,12.16,34.98,17.05,29.18
196,5.78,12.45,36.18,16.73,28.86
197,5.17,12.93,37.26,15.97,28.67
198,5.4,13.55,38.9,14.18,27.97
199,4.68,14.16,40.38,13.52,27.26
200,25.22,3.51,14.22,31.25,25.8
201,23.49,3.79,15.63,31.43,25.66
202,20.88,4.17,16.25,31.49,27.21
203,19.3,4.46,17.53,31.03,27.68
204,18.25,4.29,18.94,30.77,27.74
205,16.35,5.16,20.96,29.21,28.31
206,14.87,5.67,21.5,29.46,28.5
207,14.19,6.07,22.78,28.48,28.48
208,12.43,6.81,24.67,27.95,28.14
209,11.55,7.17,25.48,26.6,29.21
210,11.07,7.76,27.46,25.22,28.49
211,9.47,8.32,29.12,24.76,28.33
212,8.03,9.57,30.39,23.53,28.47
213,8.3,9.52,31.74,22.25,28.19
214,7.2,10.75,33.4,21.41,27.24
215,7.07,11.39,34.89,19.62,27.04
216,5.96,11.52,35.95,19.12,27.45
217,6.44,11.65,37.68,18.56,25.67
218,4.98,12.16,40.0,17.14,25.71
219,4.89,13.5,40.42,15.5,25.69
220,4.78,13.05,42.4,14.42,25.35
221,25.2,3.41,14.02,33.66,23.7
222,22.67,3.8,16.14,33.54,23.86
223,21.49,3.94,16.92,32.97,24.68
224,20.26,3.75,18.08,33.03,24.88
225,18.03,4.97,19.61,32.11,25.28
226,16.16,5.31,21.07,31.52,25.94
227,15.44,5.57,21.85,31.01,26.14
228,13.84,5.6,23.79,30.91,25.86
229,13.3,6.3,24.97,29.12,26.31
230,11.95,6.83,26.66,28.37,26.19
231,10.92,7.78,28.88,27.09,25.33
232,9.33,7.98,29.84,26.29,26.56
233,9.61,9.02,31.65,24.33,25.39
234,7.69,9.69,33.06,23.91,25.64
235,7.96,9.64,34.67,22.82,24.91
236,7.01,10.48,36.41,21.89,24.21
237,7.23,10.73,37.39,20.46,24.19
238,5.95,11.78,38.97,19.38,23.92
239,5.76,11.65,40.12,18.37,24.1
240,5.16,12.49,42.42,16.74,23.19
241,4.87,12.9,43.61,15.91,22.71
242,22.31,3.54,16.33,35.52,22.31
243,20.32,3.83,17.76,34.93,23.17
244,18.89,3.9,18.53,35.86,22.82
245,17.72,4.41,20.44,34.26,23.16
246,15.57,4.04,22.27,34.17,23.95
247,15.74,5.25,22.95,32.69,23.37
248,13.68,5.53,24.77,32.48,23.55
249,12.43,5.95,26.1,31.14,24.38
250,11.55,6.35,27.79,30.31,24.0
251,10.62,7.65,28.97,28.75,24.0
252,9.94,7.46,31.39,27.91,23.3
253,8.2,8.41,32.93,27.1,23.36
254,8.09,8.71,33.83,25.71,23.66
255,7.41,9.47,36.04,24.19,22.89
256,5.88,10.23,37.01,23.53,23.36
257,6.27,9.77,39.01,22.31,22.65
258,5.55,11.13,40.6,20.76,21.95
259,5.34,11.27,42.31,19.48,21.6
260,4.51,12.17,43.16,18.08,22.08
261,22.74,2.99,15.58,38.17,20.51
262,20.77,3.48,17.86,37.45,20.44
263,19.31,3.87,18.95,37.51,20.35
264,17.75,4.3,21.0,35.81,21.14
265,15.74,4.16,22.16,36.24,21.7
266,15.14,4.93,23.12,35.14,21.67
267,13.32,5.47,25.53,34.24,21.43
268,12.42,5.82,27.43,33.34,20.99
269,10.89,6.33,28.88,32.36,21.54
270,10.47,6.44,30.52,31.41,21.15
271,9.23,7.71,32.69,29.69,20.68
272,8.44,8.06,34.46,28.46,20.58
273,7.75,8.25,36.04,27.19,20.78
274,7.26,9.04,37.08,26.18,20.44
275,6.67,9.5,38.14,25.24,20.46
276,5.78,10.2,40.65,23.61,19.76
277,5.86,10.23,41.7,22.14,20.08
278,5.16,10.96,43.91,20.87,19.1
279,4.75,11.18,45.22,19.51,19.34
280,20.52,3.7,17.65,39.47,18.66
281,19.7,3.32,19.35,39.02,18.62
282,18.0,4.06,20.72,37.45,19.78
283,16.4,3.94,22.66,37.76,19.24
284,15.11,4.18,24.47,36.79,19.45
285,13.1,5.33,26.04,36.14,19.4
286,11.95,5.26,27.71,35.17,19.91
287,11.22,5.81,29.13,33.43,20.4
288,10.43,6.0,31.53,32.21,19.83
289,9.39,6.69,33.52,31.23,19.16
290,8.8,7.76,34.87,29.95,18.63
291,8.76,7.75,36.15,28.92,18.42
292,7.49,8.29,38.54,27.51,18.17
293,7.23,8.84,39.52,26.28,18.13
294,6.0,9.68,40.77,24.78,18.78
295,6.04,10.27,42.11,23.8,17.78
296,5.31,10.47,44.77,22.05,17.41
297,18.62,2.75,20.63,40.78,17.22
298,16.66,4.16,21.92,39.73,17.54
299,14.89,4.47,22.85,40.39,17.4
300,14.41,4.51,25.01,39.19,16.87
301,13.02,4.65,27.09,37.54,17.7
302,12.21,5.15,28.66,36.0,17.97
303,10.67,5.52,30.57,35.03,18.21
304,9.58,5.95,32.89,34.19,17.39
305,9.38,6.32,34.26,32.76,17.26
306,9.07,6.98,35.99,31.32,16.63
307,7.96,7.65,37.5,29.65,17.24
308,7.17,8.44,38.94,28.63,16.82
309,6.43,7.97,40.24,28.17,17.19
310,5.76,8.97,42.32,26.32,16.63
311,5.5,9.49,43.81,24.88,16.32
312,16.05,3.93,21.82,42.87,15.34
313,15.81,4.19,24.07,40.53,15.39
314,14.09,3.98,25.67,40.2,16.06
315,12.63,4.79,27.5,38.94,16.14
316,12.02,4.7,30.04,37.3,15.94
317,10.9,5.03,31.3,36.9,15.87
318,9.57,5.29,32.81,35.93,16.39
319,9.29,5.87,34.72,34.17,15.94
320,7.46,6.3,36.68,33.69,15.87
321,7.79,6.81,38.17,31.1,16.13
322,7.45,6.97,39.52,30.07,15.99
323,6.41,7.7,41.61,29.1,15.18
324,6.01,8.27,42.7,27.59,15.43
325,14.6,3.81,24.61,42.6,14.37
326,13.49,3.59,26.18,41.99,14.76
327,13.05,3.79,28.28,40.96,13.92
328,11.67,4.47,29.6,38.51,15.75
329,10.93,4.77,31.69,38.57,14.04
330,9.91,5.25,32.89,36.65,15.3
331,8.54,6.11,34.98,35.73,14.64
332,7.79,5.9,37.23,34.58,14.5
333,7.97,6.62,38.09,32.77,14.56
334,7.07,7.01,40.34,31.31,14.27
335,6.46,7.24,42.27,30.4,13.64
336,11.88,3.89,28.39,42.21,13.64
337,11.46,3.98,29.51,41.18,13.87
338,10.2,5.01,32.43,39.18,13.17
339,9.69,5.02,33.79,38.26,13.24
340,8.7,4.99,35.72,37.41,13.17
341,8.53,5.64,37.26,35.81,12.76
342,7.55,6.02,39.37,34.19,12.87
