Index,Ag,Au,Pd,Pt
246,34.51,21.39,33.0,11.1
247,36.07,20.5,31.13,12.3
248,37.56,19.3,29.41,13.73
249,37.75,18.93,28.4,14.92
250,39.16,18.38,26.48,15.98
251,39.16,18.08,25.27,17.49
252,40.52,16.33,22.77,20.38
253,40.68,15.59,21.42,22.31
254,39.52,15.25,20.29,24.93
255,40.6,13.27,18.53,27.6
256,39.56,12.28,17.6,30.56
257,39.07,12.13,16.47,32.34
258,39.15,10.62,15.33,34.9
259,38.72,10.1,12.96,38.22
260,37.12,8.53,13.55,40.8
261,32.6,21.4,38.84,7.16
262,33.79,21.19,37.11,7.91
263,34.95,20.61,35.99,8.45
264,35.89,20.16,34.61,9.34
265,37.59,19.39,33.04,9.99
266,38.16,19.28,31.51,11.06
267,39.83,18.25,29.41,12.51
268,40.9,17.3,28.5,13.3
269,41.24,16.08,27.42,15.26
270,42.04,15.46,25.32,17.18
271,42.47,14.94,23.92,18.67
272,43.29,14.63,21.46,20.62
273,43.82,12.99,19.87,23.31
274,42.74,13.42,18.81,25.03
275,42.95,12.1,17.42,27.53
276,42.57,11.14,15.57,30.71
277,41.95,10.2,15.23,32.61
278,40.6,9.56,14.42,35.42
279,40.37,9.14,12.13,38.37
280,35.36,19.62,37.91,7.11
281,37.19,18.69,36.53,7.59
282,38.79,18.6,34.14,8.47
283,39.83,18.06,32.7,9.41
284,41.15,17.13,31.48,10.24
285,41.5,16.9,29.88,11.72
286,41.84,15.92,29.43,12.81
287,43.41,15.17,27.02,14.4
288,44.66,14.39,25.87,15.08
289,45.01,13.81,24.01,17.17
290,45.25,13.96,21.9,18.89
291,45.21,13.03,20.69,21.07
292,46.08,11.36,18.93,23.63
293,45.71,10.86,18.1,25.34
294,44.8,10.82,16.09,28.29
295,44.6,9.23,15.18,30.99
296,42.99,9.08,14.65,33.28
297,39.52,17.57,35.77,7.14
298,40.75,16.86,34.49,7.9
299,41.79,16.01,33.84,8.36
300,42.95,15.55,31.88,9.62
301,43.98,15.16,29.92,10.94
302,44.81,15.01,28.44,11.75
303,45.52,14.01,26.87,13.59
304,46.95,12.98,25.73,14.33
305,47.06,12.57,24.45,15.92
306,47.88,12.24,22.06,17.82
307,48.39,11.35,20.31,19.95
308,48.49,11.14,18.87,21.49
309,48.37,9.92,18.07,23.64
310,47.8,9.25,16.5,26.46
311,46.15,8.92,16.46,28.46
312,42.99,15.33,34.58,7.1
313,43.95,14.91,32.82,8.33
314,45.11,13.92,31.59,9.38
315,46.28,13.8,30.49,9.43
316,46.84,12.94,28.88,11.34
317,49.03,12.69,26.45,11.83
318,49.12,11.93,25.85,13.1
319,50.06,11.41,24.1,14.44
320,51.13,10.43,21.54,16.89
321,51.17,10.88,20.47,17.49
322,50.78,10.34,19.12,19.77
323,50.86,9.16,18.06,21.91
324,50.42,8.96,16.53,24.09
325,45.99,13.36,33.11,7.54
326,47.51,12.41,31.48,8.6
327,48.14,12.7,30.09,9.07
328,49.12,12.28,28.59,10.01
329,50.74,11.63,26.85,10.78
330,51.71,11.03,25.37,11.88
331,52.01,10.45,23.77,13.78
332,51.99,10.42,22.6,14.99
333,52.89,9.59,20.79,16.73
334,53.48,9.16,19.05,18.32
335,54.28,8.7,17.54,19.48
336,51.0,11.06,29.38,8.57
337,51.46,11.31,27.68,9.55
338,53.1,10.36,26.18,10.36
339,52.95,10.18,25.38,11.49
340,55.12,9.39,22.76,12.73
341,54.88,9.42,22.06,13.64
342,54.85,8.71,21.23,15.21
