Index,Ag,Au,Cu,Pd,Pt
61,5.62,0.22,10.37,1.94,81.86
62,6.28,-0.7,10.7,2.56,81.16
63,7.36,1.27,9.14,3.3,78.93
64,8.22,0.8,8.22,3.71,79.05
65,8.92,1.35,9.19,4.86,75.68
66,9.62,1.1,10.16,5.77,73.35
67,11.6,0.63,9.4,4.39,73.98
68,11.99,2.21,9.15,4.73,71.92
69,11.66,2.45,12.58,4.91,68.4
70,13.46,1.92,10.9,6.73,66.99
71,14.38,1.71,9.93,7.19,66.78
72,15.09,3.02,9.06,7.92,64.91
73,14.23,1.98,9.88,9.49,64.43
74,17.37,2.54,7.63,10.59,61.86
75,18.68,3.89,10.12,9.73,57.59
76,3.75,-1.88,9.94,0.75,87.43
77,4.51,-1.02,8.4,1.84,86.27
78,5.31,-0.64,9.34,2.97,83.01
79,5.56,-1.78,9.33,2.67,84.22
80,6.86,-0.95,8.98,2.6,82.51
81,6.55,0.97,9.22,3.4,79.85
82,7.73,-1.45,10.39,3.38,79.95
83,8.97,0.26,9.5,3.43,77.84
84,8.38,-0.27,10.0,3.51,78.38
85,10.37,1.15,10.66,4.61,73.2
86,11.53,-1.15,11.53,4.9,73.2
87,12.5,1.25,10.0,4.06,72.19
88,12.99,0.91,12.08,6.04,67.98
89,14.29,0.32,11.11,5.71,68.57
90,15.1,2.68,12.42,5.37,64.43
91,16.5,1.98,11.55,7.59,62.38
92,17.1,1.86,11.9,7.43,61.71
93,17.18,2.67,9.54,8.02,62.6
94,19.77,3.1,10.85,9.3,56.98
95,4.65,-2.13,9.11,1.55,86.82
96,3.93,-0.79,9.82,3.14,83.89
97,5.49,0.0,10.2,2.75,81.57
98,4.91,-0.85,10.47,2.56,82.91
99,5.77,-1.15,10.16,2.31,82.91
100,6.57,-0.97,11.68,3.65,79.08
101,7.98,0.23,12.44,3.52,75.82
102,7.22,0.27,10.7,2.94,78.88
103,7.44,0.55,11.57,4.13,76.31
104,9.86,-0.82,12.05,3.29,75.62
105,9.7,0.3,11.82,3.33,74.85
106,12.31,0.31,12.31,4.62,70.46
107,12.23,1.22,11.62,4.89,70.03
108,13.13,1.88,13.75,4.69,66.56
109,14.29,0.97,11.69,8.44,64.61
110,15.61,2.33,11.96,6.98,63.12
111,16.61,2.47,13.43,7.42,60.07
112,17.81,1.37,11.99,7.88,60.96
113,17.74,2.26,12.08,7.92,60.0
114,18.65,2.78,9.92,9.92,58.73
115,20.23,3.5,10.89,9.34,56.03
116,4.04,-2.69,10.96,1.54,86.15
117,5.45,-1.62,11.11,1.62,83.43
118,4.92,-1.64,12.09,1.84,82.79
119,6.71,-0.65,11.26,2.81,79.87
120,7.05,-0.23,12.95,2.73,77.5
121,7.66,0.0,10.53,2.87,78.95
122,7.94,-0.25,11.17,2.98,78.16
123,9.18,0.5,11.17,4.22,74.94
124,9.97,0.51,12.02,3.84,73.66
125,11.41,0.27,10.87,3.8,73.64
126,11.99,-0.27,13.35,5.45,69.48
127,12.5,0.57,11.93,4.83,70.17
128,12.76,2.97,12.17,5.04,67.06
129,14.24,1.55,12.38,5.26,66.56
130,16.09,0.95,12.3,7.26,63.41
131,15.93,0.68,10.85,6.78,65.76
132,18.82,3.14,12.89,6.97,58.19
133,19.3,4.21,11.58,7.37,57.54
134,21.15,2.51,10.39,7.89,58.06
135,21.84,0.38,9.2,9.58,59.0
136,22.18,2.51,9.62,10.46,55.23
137,4.02,-1.01,11.67,2.21,83.1
138,5.36,-0.79,11.11,1.39,82.94
139,4.75,-1.94,13.61,2.38,81.21
140,6.56,-2.26,13.57,2.49,79.64
141,7.06,-0.46,12.07,3.64,77.68
142,7.44,-1.4,12.56,2.56,78.84
143,9.75,-0.91,10.2,2.49,78.46
144,9.5,-1.75,10.75,2.75,78.75
145,10.27,0.27,11.62,4.32,73.51
146,10.3,-0.81,15.18,3.79,71.54
147,12.24,-0.58,11.95,4.08,72.3
148,13.07,-0.3,13.98,4.56,68.69
149,13.69,1.19,14.58,5.65,64.88
150,15.36,1.88,13.17,5.96,63.64
151,16.4,1.29,14.15,5.47,62.7
152,17.95,1.92,12.82,6.73,60.58
153,18.58,0.34,13.18,6.42,61.49
154,19.22,0.65,14.01,7.17,58.96
155,22.38,2.17,11.55,8.66,55.23
156,21.2,3.18,10.95,9.54,55.12
157,22.1,2.62,13.86,8.61,52.81
158,5.5,-2.04,11.2,1.43,83.91
159,4.72,-2.79,11.8,3.0,83.26
160,5.92,-1.48,12.68,2.54,80.34
161,6.74,-0.67,12.81,2.47,78.65
162,7.09,-1.14,13.27,2.29,78.49
163,7.87,-2.03,13.2,3.55,77.41
164,9.47,-1.15,12.7,2.77,76.21
165,9.72,-1.53,14.58,3.32,73.91
166,10.16,0.52,15.36,1.82,72.14
167,11.25,-1.28,14.07,4.09,71.87
168,12.81,-0.84,13.65,3.9,70.47
169,14.2,-0.31,13.27,4.32,68.52
170,15.09,-0.3,13.61,4.73,66.86
171,16.56,0.64,13.06,5.1,64.65
172,17.55,0.94,14.73,6.27,60.5
173,18.81,0.63,13.79,7.21,59.56
174,20.78,1.62,12.99,7.14,57.47
175,21.63,0.71,11.7,7.45,58.51
176,21.32,2.57,12.13,6.99,56.99
177,23.25,2.21,13.65,7.38,53.51
178,25.19,3.33,14.07,8.15,49.26
179,6.08,-1.89,13.63,1.68,80.5
180,6.59,-1.8,13.97,2.2,79.04
181,7.38,-3.58,11.86,4.03,80.31
182,6.78,-1.4,14.49,1.4,78.74
183,8.71,-0.71,14.82,2.59,74.59
184,7.47,-2.17,14.46,2.89,77.35
185,10.54,0.0,15.46,3.28,70.73
186,10.24,-1.57,14.17,3.15,74.02
187,12.24,-0.26,13.28,3.65,71.09
188,11.85,0.83,13.77,3.31,70.25
189,13.18,-0.57,14.61,3.72,69.05
190,15.58,-0.57,14.45,3.68,66.86
191,15.34,0.0,14.16,5.6,64.9
192,17.88,0.0,14.85,5.45,61.82
193,17.5,2.81,15.31,5.62,58.75
194,19.93,2.29,13.73,7.52,56.54
195,20.34,0.68,12.54,7.8,58.64
196,23.08,0.7,14.34,7.34,54.55
197,23.53,2.94,13.24,5.88,54.41
198,25.09,1.09,13.09,8.73,52.0
199,27.3,1.42,10.99,9.22,51.06
200,5.45,-1.21,13.94,2.02,79.8
201,7.28,-2.29,16.01,2.08,76.92
202,5.86,-1.35,13.74,4.28,77.48
203,8.04,-1.42,16.31,1.18,75.89
204,9.37,-1.41,14.29,3.51,74.24
205,8.81,-0.71,16.67,3.1,72.14
206,9.6,-2.02,15.15,3.54,73.74
207,11.58,-0.49,16.5,2.96,69.46
208,12.67,-1.08,17.25,2.16,69.0
209,14.1,-1.06,14.89,3.72,68.35
210,14.33,0.0,15.76,3.44,66.48
211,16.22,1.06,15.16,5.05,62.5
212,17.31,0.27,15.66,5.77,60.99
213,19.41,-0.33,13.82,2.96,64.14
214,18.82,0.7,14.63,5.57,60.28
215,19.05,0.32,17.46,6.67,56.51
216,22.73,1.3,13.64,6.49,55.84
217,23.1,0.34,13.1,7.59,55.86
218,24.11,0.71,12.77,8.16,54.26
219,26.45,1.45,11.23,9.42,51.45
220,26.46,1.95,11.67,8.95,50.97
221,5.9,-2.62,16.16,1.97,78.6
222,6.81,-1.98,16.26,1.76,77.14
223,7.22,-2.93,15.8,2.48,77.43
224,8.11,-1.1,17.11,2.19,73.68
225,7.88,-0.99,16.75,1.23,75.12
226,10.42,-1.99,16.13,2.98,72.46
227,10.47,-1.1,16.53,2.48,71.63
228,11.23,-1.31,16.97,3.13,69.97
229,12.66,0.25,16.2,3.04,67.85
230,12.23,0.8,17.02,3.46,66.49
231,15.45,-0.81,16.53,4.34,64.5
232,16.76,0.0,17.03,4.05,62.16
233,18.86,-0.9,17.66,4.79,59.58
234,19.64,0.91,15.41,6.04,58.01
235,21.05,1.55,14.55,5.26,57.59
236,21.98,1.24,15.48,5.26,56.04
237,23.49,0.32,16.19,6.98,53.02
238,23.15,2.25,14.15,7.07,53.38
239,25.53,0.35,14.89,7.09,52.13
240,27.45,2.29,13.4,8.17,48.69
241,29.79,1.06,10.64,9.57,48.94
242,6.59,-1.59,17.5,2.05,75.45
243,7.83,-1.34,18.57,2.24,72.71
244,8.25,-1.25,16.5,2.0,74.5
245,8.22,-1.64,19.25,3.52,70.66
246,10.0,-0.5,19.5,2.25,68.75
247,11.53,0.0,18.82,3.06,66.59
248,13.04,0.0,17.66,2.17,67.12
249,13.72,-1.85,19.53,3.17,65.44
250,14.86,-0.86,16.29,3.14,66.57
251,16.05,-0.86,18.62,4.01,62.18
252,18.75,-0.89,15.77,4.76,61.61
253,19.52,-1.8,17.42,4.5,60.36
254,20.12,-0.89,18.64,5.33,56.8
255,21.78,2.01,15.19,5.16,55.87
256,22.94,0.92,14.37,6.12,55.66
257,24.37,0.0,14.24,7.91,53.48
258,23.93,1.97,15.74,7.54,50.82
259,26.69,1.35,16.22,7.77,47.97
260,28.16,-0.36,16.97,6.86,48.38
261,6.84,-2.65,18.76,1.55,75.5
262,8.16,-0.68,18.14,2.04,72.34
263,10.07,-0.94,19.67,1.41,69.79
264,10.38,-3.04,18.48,1.01,73.16
265,11.98,-0.73,18.58,3.18,66.99
266,10.68,-1.7,19.17,3.64,68.2
267,13.32,-2.09,20.37,3.92,64.49
268,14.4,-1.83,19.37,4.19,63.87
269,16.39,-1.11,18.61,3.33,62.78
270,17.28,0.85,16.15,4.25,61.47
271,19.4,-0.55,16.94,4.1,60.11
272,19.77,-0.58,17.44,5.81,57.56
273,21.26,0.3,16.17,5.39,56.89
274,23.03,1.58,15.14,5.68,54.57
275,23.13,0.65,16.61,6.51,53.09
276,25.65,0.0,15.58,6.17,52.6
277,27.06,0.33,15.18,7.26,50.17
278,29.62,0.35,16.38,4.53,49.13
279,29.96,2.17,12.64,7.94,47.29
280,8.37,-0.99,19.95,1.97,70.69
281,10.62,-1.23,20.99,1.73,67.9
282,10.86,-1.52,19.95,2.27,68.43
283,12.73,-1.82,20.78,2.08,66.23
284,12.95,-0.72,21.1,2.88,63.79
285,15.17,-1.03,20.31,3.34,62.21
286,16.03,-1.36,20.38,2.72,62.23
287,15.88,-0.56,20.33,3.62,60.72
288,18.21,0.26,19.49,4.62,57.44
289,20.11,-0.57,18.97,2.59,58.91
290,21.31,0.0,15.63,4.83,58.24
291,23.42,0.63,17.41,4.43,54.11
292,25.61,0.3,16.46,4.57,53.05
293,24.68,-0.32,19.55,6.09,50.0
294,26.76,0.67,15.72,5.69,51.17
295,27.39,-0.32,18.79,5.73,48.41
296,30.54,0.34,14.77,4.36,50.0
297,11.11,-1.13,22.45,1.36,66.21
298,10.7,-2.09,23.24,2.09,66.06
299,12.21,-1.17,21.6,2.58,64.79
300,13.83,0.27,20.48,3.19,62.23
301,15.78,-0.73,21.36,3.16,60.44
302,15.57,-0.82,23.22,2.19,59.84
303,18.62,-1.33,20.21,3.46,59.04
304,19.71,-0.29,19.71,4.06,56.81
305,20.96,0.0,18.41,4.53,56.09
306,21.41,-0.28,19.72,3.94,55.21
307,23.8,0.9,18.67,4.22,52.41
308,25.99,0.61,17.74,5.2,50.46
309,26.77,0.0,16.45,5.48,51.29
310,28.31,0.9,18.07,5.12,47.59
311,30.48,-1.03,16.78,7.19,46.58
312,11.57,-0.96,23.86,2.17,63.37
313,13.55,-1.02,23.79,1.28,62.4
314,14.82,-0.5,22.61,2.76,60.3
315,15.23,0.25,22.84,2.79,58.88
316,16.94,-0.54,23.39,2.69,57.53
317,18.72,-1.07,23.26,2.67,56.42
318,20.17,-0.28,21.82,3.59,54.7
319,22.22,-0.28,22.22,2.85,52.99
320,23.85,-0.29,20.4,4.02,52.01
321,24.65,0.28,21.05,4.43,49.58
322,28.26,-1.24,16.15,5.59,51.24
323,28.08,0.0,17.03,4.73,50.16
324,29.85,-0.62,17.54,4.31,48.92
325,13.88,-1.29,24.16,1.8,61.44
326,14.29,-1.56,27.53,1.3,58.44
327,16.99,-0.84,22.28,2.79,58.77
328,18.41,-0.55,22.8,2.75,56.59
329,19.79,-0.53,24.06,2.67,54.01
330,22.25,-0.82,21.15,3.3,54.12
331,21.75,-1.13,22.03,3.39,53.95
332,25.36,0.85,20.51,3.7,49.57
333,25.88,-0.29,22.06,4.12,48.24
334,28.38,0.54,19.19,5.14,46.76
335,28.25,-0.56,21.19,5.37,45.76
336,18.43,-0.54,23.31,2.98,55.83
337,19.17,-0.28,23.89,2.5,54.72
338,20.0,0.0,23.38,1.97,54.65
339,22.83,-0.58,21.68,3.47,52.6
340,23.98,-1.75,23.39,4.09,50.29
341,25.35,0.28,22.01,3.06,49.3
342,27.64,-0.28,20.8,3.99,47.86
