Index,Au,Pd,Pt,Ru
221,5.2,2.16,88.88,3.76
222,5.76,3.57,87.67,3.0
223,6.14,4.0,86.11,3.76
224,5.67,3.25,85.68,5.4
225,6.14,4.37,84.2,5.28
226,6.51,5.37,82.47,5.66
227,6.41,5.98,81.15,6.46
228,6.65,6.67,79.37,7.31
229,6.06,8.41,78.01,7.52
230,6.21,9.03,76.23,8.54
231,5.37,9.79,75.65,9.19
232,4.82,12.01,73.85,9.32
233,5.07,12.96,70.91,11.07
234,5.15,14.97,68.17,11.7
235,4.89,15.37,67.07,12.66
236,4.14,17.92,64.19,13.75
237,3.62,19.91,62.98,13.49
238,3.82,20.84,60.13,15.21
239,3.95,22.02,57.24,16.79
240,3.55,24.28,54.96,17.21
241,3.02,26.58,51.88,18.52
242,4.94,2.71,88.69,3.66
243,5.27,2.89,87.34,4.5
244,5.36,3.32,86.43,4.89
245,5.46,3.86,85.79,4.9
246,5.74,4.48,83.71,6.07
247,5.83,5.38,82.18,6.61
248,5.62,6.09,81.48,6.82
249,5.61,7.38,79.15,7.86
250,5.29,8.67,77.28,8.77
251,4.87,9.51,75.77,9.85
252,5.22,10.05,74.1,10.63
253,4.24,12.3,72.14,11.31
254,4.0,12.57,70.87,12.56
255,4.33,14.89,67.75,13.03
256,3.97,15.99,65.54,14.49
257,3.13,17.58,64.27,15.03
258,2.71,18.98,62.34,15.97
259,3.39,20.29,58.85,17.46
260,3.41,22.06,56.85,17.68
261,4.67,2.06,90.07,3.2
262,3.97,2.69,89.11,4.23
263,4.76,2.87,86.68,5.68
264,4.69,4.42,85.86,5.02
265,4.56,4.14,85.21,6.09
266,4.88,5.04,83.04,7.03
267,4.03,5.74,82.48,7.75
268,4.75,6.27,81.11,7.87
269,4.23,7.41,78.6,9.76
270,4.52,8.35,77.41,9.73
271,4.14,8.93,75.99,10.94
272,4.03,10.82,73.46,11.7
273,3.7,11.83,71.73,12.73
274,3.9,12.8,69.36,13.94
275,3.3,14.28,68.2,14.22
276,3.33,15.42,65.56,15.68
277,2.97,17.39,62.98,16.66
278,2.9,19.01,60.12,17.97
279,2.22,20.39,58.25,19.14
280,4.2,2.37,88.8,4.63
281,3.68,2.2,88.59,5.53
282,4.09,3.36,87.82,4.73
283,4.22,4.01,85.95,5.82
284,4.5,4.28,84.27,6.95
285,4.13,4.82,84.37,6.69
286,3.92,5.96,81.72,8.4
287,3.85,6.33,80.38,9.43
288,3.4,7.79,78.26,10.55
289,3.54,7.91,77.1,11.45
290,3.63,8.96,75.25,12.17
291,3.01,10.19,73.85,12.96
292,3.69,11.76,70.97,13.58
293,2.7,13.05,69.32,14.93
294,3.44,13.58,67.23,15.74
295,2.53,15.77,64.29,17.41
296,1.91,16.01,62.86,19.21
297,3.47,2.72,88.96,4.85
298,3.93,3.09,87.26,5.72
299,3.08,3.57,86.83,6.51
300,3.62,4.05,85.35,6.98
301,3.72,4.06,84.72,7.5
302,3.32,5.1,83.04,8.53
303,3.57,6.1,81.05,9.28
304,3.68,6.36,79.37,10.59
305,3.36,7.99,77.33,11.32
306,2.75,7.95,76.26,13.04
307,3.0,9.21,73.74,14.05
308,2.92,10.58,71.97,14.53
309,2.43,11.51,70.51,15.54
310,2.28,12.58,68.48,16.66
311,1.99,13.67,66.54,17.8
312,3.66,2.67,88.18,5.49
313,2.9,2.99,86.9,7.21
314,2.83,3.38,86.3,7.49
315,2.81,3.37,85.93,7.89
316,3.33,4.7,82.34,9.63
317,2.44,5.3,83.31,8.95
318,2.56,5.89,81.07,10.48
319,2.82,6.78,78.84,11.56
320,3.39,7.43,76.51,12.66
321,2.34,7.34,75.17,15.15
322,2.2,9.51,73.44,14.85
323,2.21,8.94,72.2,16.65
324,2.29,10.43,69.14,18.15
325,2.56,2.48,88.57,6.39
326,2.9,2.86,87.34,6.89
327,3.21,3.43,84.82,8.55
328,3.05,4.16,83.66,9.13
329,2.7,4.64,82.1,10.57
330,2.4,5.68,80.59,11.33
331,2.6,5.02,79.68,12.7
332,2.73,5.85,78.4,13.03
333,2.59,7.27,75.62,14.52
334,1.34,8.04,75.21,15.4
335,1.78,9.14,72.61,16.47
336,2.3,3.23,85.76,8.7
337,2.52,3.58,84.33,9.57
338,2.33,4.62,82.6,10.45
339,2.48,4.34,81.56,11.62
340,1.78,4.87,80.27,13.08
341,2.13,5.75,77.77,14.35
342,2.72,6.18,76.12,14.98
