Index,Ag,Au,Cu,Ni,Pd,Pt
105,9.26,4.36,8.71,0.29,74.62,3.05
106,10.53,4.5,7.77,0.24,74.13,3.07
107,9.75,4.36,7.67,0.28,75.66,2.56
108,9.38,3.31,6.71,0.36,77.94,2.67
109,10.78,3.57,5.07,0.35,77.97,2.61
110,9.57,3.73,5.17,0.23,78.92,2.62
111,9.52,3.55,5.57,0.27,79.5,1.86
112,9.0,3.48,5.06,0.35,80.25,2.21
113,8.43,3.34,5.54,0.36,80.87,1.82
114,8.11,3.54,3.68,0.31,83.11,1.57
115,8.36,3.13,3.72,0.38,82.96,1.83
116,10.17,5.93,14.41,0.19,61.44,8.05
117,12.83,4.72,14.53,0.2,61.13,6.79
118,11.93,6.39,13.28,0.16,62.18,6.22
119,10.88,5.26,13.51,0.21,64.39,5.96
120,10.33,4.69,12.36,0.19,67.14,5.48
121,11.22,5.12,12.74,0.19,65.93,4.99
122,10.88,5.1,11.29,0.18,67.91,4.82
123,10.38,4.94,11.39,0.27,68.73,4.56
124,10.76,4.38,10.14,0.23,70.71,4.01
125,11.2,4.17,8.7,0.17,72.35,3.58
126,10.49,4.07,9.31,0.2,72.7,3.43
127,9.86,4.38,7.07,0.33,75.7,2.99
128,11.14,3.88,7.85,0.26,74.13,3.0
129,11.0,4.07,6.1,0.32,76.34,2.5
130,10.34,3.42,6.75,0.36,77.13,2.37
131,9.66,3.28,6.13,0.28,78.66,2.27
132,10.56,3.98,6.26,0.31,77.42,1.79
133,9.54,3.31,5.05,0.3,79.89,2.21
134,9.29,3.24,5.16,0.3,80.47,1.84
135,9.91,2.67,4.03,0.34,81.48,1.91
136,8.14,3.19,3.59,0.29,83.46,1.63
137,10.54,5.77,16.9,0.21,59.05,7.75
138,10.81,5.98,15.25,0.15,61.0,6.95
139,11.21,4.45,16.37,0.19,61.21,6.76
140,11.76,5.04,13.95,0.21,63.36,5.88
141,11.31,5.65,11.76,0.24,65.48,5.8
142,11.3,4.52,12.71,0.2,65.96,5.51
143,10.82,4.43,12.26,0.24,67.67,4.82
144,12.06,4.26,10.99,0.27,68.09,4.61
145,11.41,3.8,10.18,0.15,70.8,3.8
146,11.79,4.29,9.64,0.2,70.36,3.93
147,11.01,3.81,8.89,0.18,73.02,3.28
148,11.2,3.67,8.55,0.32,73.32,3.26
149,11.79,3.99,6.94,0.26,74.14,3.14
150,10.07,3.89,7.98,0.35,75.4,2.66
151,11.07,3.6,6.46,0.31,76.48,2.4
152,10.77,3.4,6.46,0.22,77.05,2.32
153,10.15,3.33,6.33,0.26,78.0,2.19
154,10.4,3.29,4.61,0.42,79.58,2.12
155,10.5,3.06,5.18,0.38,79.36,1.9
156,9.93,3.03,4.14,0.42,81.17,1.72
157,9.21,2.8,3.8,0.32,82.72,1.47
158,13.16,5.06,18.42,0.14,56.68,6.68
159,12.95,5.63,17.64,0.2,57.41,6.38
160,11.88,4.99,15.66,0.17,61.1,6.37
161,13.0,4.85,15.94,0.18,60.66,5.55
162,11.85,4.89,14.96,0.16,62.52,5.78
163,12.17,4.06,13.57,0.21,64.9,5.31
164,11.77,4.1,12.7,0.22,66.53,4.89
165,11.59,4.97,11.97,0.21,67.64,3.82
166,10.93,3.79,11.26,0.19,69.79,4.24
167,10.6,4.42,10.49,0.26,70.42,4.08
168,10.62,3.54,9.96,0.32,71.79,4.09
169,12.27,3.91,9.55,0.29,71.77,2.5
170,11.85,3.55,9.28,0.28,72.56,2.76
171,10.81,3.16,9.0,0.35,74.07,2.97
172,12.63,3.09,6.63,0.29,74.91,2.74
173,11.31,3.56,6.3,0.32,76.64,2.19
174,10.83,3.22,6.2,0.4,77.77,1.98
175,10.59,3.36,4.77,0.41,79.34,1.94
176,10.36,3.02,5.52,0.32,79.37,1.74
177,10.99,3.01,4.55,0.38,79.76,1.68
178,11.12,2.52,4.57,0.36,80.7,1.09
179,10.54,5.59,19.14,0.18,57.63,7.1
180,12.74,4.75,18.82,0.19,56.84,6.84
181,11.39,5.44,17.86,0.25,59.52,5.78
182,11.52,4.55,16.52,0.15,61.97,5.45
183,12.77,4.42,15.71,0.22,61.87,5.24
184,12.37,3.73,14.16,0.23,64.53,5.22
185,12.98,4.76,14.27,0.25,63.88,4.11
186,12.06,3.68,12.69,0.24,67.77,3.81
187,13.54,4.22,11.43,0.27,67.08,3.73
188,12.56,3.88,10.73,0.25,69.29,3.54
189,12.51,3.38,11.28,0.28,69.23,3.59
190,12.44,3.39,9.56,0.32,71.43,3.19
191,11.76,3.57,9.16,0.34,72.81,2.7
192,11.8,3.45,8.53,0.24,73.47,2.76
193,13.17,3.38,7.37,0.27,73.66,2.43
194,12.35,3.32,6.73,0.32,75.3,2.3
195,11.84,3.38,5.96,0.24,76.81,2.01
196,11.05,2.84,6.08,0.35,77.74,2.29
197,12.46,2.57,5.08,0.35,77.94,1.95
198,12.49,2.74,4.77,0.42,78.46,1.54
199,10.86,2.37,4.24,0.29,80.72,1.81
200,13.1,5.56,19.84,0.14,54.56,6.94
201,11.23,4.35,20.11,0.19,57.97,6.34
202,12.65,4.92,17.4,0.12,58.88,6.15
203,12.95,4.14,16.73,0.22,60.43,5.76
204,12.17,4.52,15.29,0.23,62.87,5.15
205,11.89,4.42,15.85,0.2,63.26,4.57
206,12.37,4.44,14.38,0.22,64.65,4.17
207,13.24,4.85,13.24,0.21,64.42,4.26
208,12.66,3.96,12.02,0.25,67.39,3.96
209,12.57,3.58,11.65,0.18,68.51,3.69
210,12.22,3.64,9.87,0.25,70.98,3.29
211,12.46,2.93,10.08,0.29,71.4,3.14
212,13.4,3.3,9.53,0.3,71.51,2.26
213,11.44,2.83,8.7,0.23,74.49,2.53
214,13.12,2.99,7.31,0.27,74.21,2.38
215,13.53,2.84,6.64,0.25,74.48,2.5
216,12.78,2.73,6.24,0.3,75.92,2.34
217,12.2,2.74,6.06,0.34,76.68,2.32
218,12.39,3.0,4.85,0.33,78.29,1.46
219,11.85,2.86,4.85,0.34,78.66,1.78
220,12.31,2.61,4.48,0.4,78.6,2.01
221,12.45,4.08,22.86,0.18,54.08,6.53
222,11.79,4.56,20.72,0.13,56.65,6.27
223,12.41,4.26,18.89,0.22,58.33,6.11
224,12.23,3.65,17.7,0.2,60.58,5.84
225,13.55,4.12,15.44,0.21,62.26,4.63
226,12.95,3.87,16.67,0.2,61.46,5.06
227,13.85,3.98,14.68,0.19,63.24,4.25
228,13.03,3.66,14.52,0.22,64.86,3.93
229,12.76,3.51,11.94,0.29,67.8,3.98
230,14.23,3.56,11.15,0.26,68.09,2.97
231,12.35,3.46,12.47,0.23,68.89,2.84
232,13.6,3.24,11.3,0.19,68.72,3.14
233,14.46,3.19,10.17,0.32,69.69,2.49
234,13.38,3.25,9.46,0.18,71.03,2.87
235,13.51,3.23,7.85,0.3,73.23,2.18
236,13.55,2.81,7.52,0.34,73.8,2.31
237,13.91,3.0,6.8,0.31,74.55,1.74
238,12.88,2.86,6.84,0.25,75.6,1.83
239,12.57,3.18,6.06,0.34,76.91,1.29
240,12.97,2.22,6.45,0.36,76.58,1.78
241,12.93,2.23,4.67,0.28,78.59,1.58
242,13.26,4.3,20.61,0.17,55.56,6.27
243,12.04,4.38,21.53,0.22,56.39,5.66
244,12.93,3.74,18.54,0.16,59.18,5.61
245,13.81,3.3,18.37,0.15,59.18,5.34
246,13.48,3.7,17.93,0.29,60.3,4.59
247,13.34,3.44,15.27,0.28,63.69,4.26
248,14.47,3.42,15.26,0.2,62.63,4.21
249,14.29,3.9,13.38,0.26,65.06,3.38
250,14.49,3.14,12.32,0.23,66.18,3.86
251,16.35,3.32,11.61,0.23,65.76,2.96
252,14.09,3.13,10.85,0.2,68.57,3.36
253,14.36,3.31,11.6,0.24,67.85,2.87
254,14.01,2.9,10.71,0.35,69.57,2.8
255,14.33,2.92,8.2,0.3,71.91,2.64
256,14.42,2.74,7.52,0.31,73.27,2.04
257,14.23,3.14,6.84,0.33,73.84,1.94
258,13.57,2.92,7.07,0.28,74.33,2.11
259,14.18,2.12,5.6,0.38,76.06,2.04
260,14.27,2.46,6.3,0.36,75.45,1.52
261,13.21,4.04,23.12,0.2,53.58,6.06
262,12.85,4.17,21.53,0.24,55.56,5.9
263,14.55,4.07,20.81,0.12,55.56,5.01
264,14.19,3.55,18.92,0.24,58.11,5.24
265,14.51,3.45,17.24,0.27,59.91,4.89
266,15.38,3.71,16.18,0.24,60.88,3.85
267,14.5,3.15,15.87,0.23,62.79,3.69
268,15.71,3.52,14.19,0.21,62.72,3.87
269,15.1,2.97,13.67,0.2,64.92,3.33
270,13.44,2.96,12.76,0.23,67.77,3.08
271,15.66,3.03,11.92,0.29,66.26,3.13
272,13.26,2.98,10.79,0.31,70.2,2.77
273,15.14,3.25,9.55,0.28,69.41,2.64
274,15.87,2.82,8.67,0.24,70.01,2.63
275,14.96,2.67,8.43,0.32,71.88,2.06
276,14.84,2.74,7.79,0.29,72.22,2.4
277,13.56,2.29,8.39,0.27,73.47,2.29
278,13.82,2.24,7.86,0.26,74.34,1.74
279,14.77,2.28,5.5,0.35,75.73,1.73
280,14.05,3.88,21.63,0.2,54.71,5.73
281,13.58,3.31,21.19,0.2,56.62,5.3
282,15.45,3.5,19.11,0.15,57.32,4.62
283,14.86,3.71,18.43,0.26,58.87,4.13
284,14.49,2.67,17.72,0.17,60.76,4.36
285,14.8,2.93,16.48,0.17,61.59,4.19
286,15.7,3.27,15.58,0.23,61.93,3.52
287,16.86,2.62,14.01,0.27,62.64,3.87
288,15.37,3.34,12.81,0.29,65.48,3.01
289,15.37,2.45,12.03,0.24,66.93,3.23
290,15.17,3.14,12.55,0.32,66.32,2.82
291,15.38,2.48,10.84,0.26,68.73,2.58
292,17.34,2.66,9.56,0.28,67.78,2.66
293,15.73,2.59,9.2,0.23,70.15,2.32
294,16.68,2.66,7.7,0.27,71.04,1.92
295,15.19,2.07,7.63,0.28,73.28,1.83
296,15.59,2.15,6.98,0.27,73.56,1.72
297,14.14,3.99,22.13,0.17,54.74,4.99
298,16.21,4.54,19.94,0.2,54.94,4.38
299,15.76,3.44,20.2,0.24,55.87,4.73
300,15.71,3.82,19.38,0.22,57.56,3.52
301,16.92,3.44,17.56,0.21,58.65,3.44
302,17.11,3.03,15.26,0.25,61.05,3.55
303,18.25,2.83,14.78,0.19,60.93,3.21
304,14.91,3.17,13.97,0.21,64.79,3.17
305,17.58,2.79,12.33,0.24,64.2,3.11
306,16.72,2.44,12.62,0.23,65.67,2.55
307,16.56,2.5,11.77,0.27,66.56,2.6
308,16.62,2.54,10.36,0.24,67.84,2.64
309,16.84,2.78,8.97,0.31,69.2,2.22
310,15.74,2.27,8.74,0.28,71.06,2.18
311,16.2,2.38,7.66,0.39,71.48,2.29
312,15.8,3.07,23.01,0.16,54.14,3.99
313,14.67,3.63,19.67,0.16,57.49,4.54
314,15.42,3.27,19.1,0.2,57.98,4.23
315,17.61,2.98,19.18,0.24,56.68,3.55
316,17.06,2.77,17.2,0.22,59.08,3.88
317,16.98,2.39,15.78,0.22,61.14,3.71
318,18.32,2.81,13.92,0.28,61.78,3.17
319,17.86,2.39,14.11,0.31,63.14,2.5
320,17.66,2.43,11.81,0.29,65.34,2.76
321,17.97,2.67,11.29,0.28,65.91,2.16
322,17.57,2.52,11.55,0.29,66.12,2.23
323,17.55,1.91,10.27,0.3,67.82,2.45
324,17.53,1.67,10.3,0.33,68.37,2.13
325,15.87,2.98,23.31,0.24,53.22,4.63
326,16.67,3.02,19.4,0.13,56.61,4.31
327,18.21,3.36,19.05,0.17,55.46,3.92
328,18.17,2.79,17.64,0.25,57.82,3.58
329,17.28,2.77,17.15,0.2,60.03,2.77
330,18.71,2.88,15.59,0.22,59.71,3.12
331,18.68,2.86,13.95,0.23,61.39,3.11
332,19.27,2.49,12.7,0.28,63.04,2.49
333,18.3,2.07,11.66,0.19,65.25,2.72
334,18.76,2.65,10.4,0.2,65.65,2.55
335,18.69,2.43,10.93,0.2,65.33,2.62
336,18.04,2.79,20.38,0.23,55.43,3.37
337,18.6,2.93,18.85,0.2,56.18,3.44
338,18.78,2.7,16.76,0.24,58.24,3.51
339,19.35,2.28,15.86,0.26,59.01,3.49
340,17.99,2.72,13.61,0.25,62.6,3.08
341,20.86,2.38,13.61,0.18,60.43,2.72
342,19.33,2.26,14.29,0.29,61.55,2.58
