Index,Ag,Au,Pd,Pt,Ru
182,82.35,4.29,1.33,6.43,5.61
183,80.44,5.03,2.19,6.23,6.12
184,79.06,4.35,2.24,7.41,6.94
185,76.69,4.35,2.66,7.49,8.82
186,73.78,4.46,3.92,7.57,10.27
187,72.55,3.92,4.07,8.3,11.16
188,70.56,3.52,4.16,8.64,13.12
189,67.21,3.77,7.05,7.87,14.1
190,64.52,3.86,7.72,8.82,15.07
191,61.99,3.12,8.97,9.16,16.76
192,58.23,3.21,10.24,9.24,19.08
193,56.07,3.14,11.51,8.58,20.71
194,52.54,2.66,13.32,8.72,22.76
195,49.12,2.76,14.79,8.77,24.56
196,47.35,1.67,16.16,9.47,25.35
197,43.07,2.41,17.17,8.73,28.61
198,41.94,1.17,18.77,8.5,29.62
199,39.56,1.56,19.94,8.41,30.53
200,85.95,3.66,0.67,5.99,3.74
201,85.16,3.73,0.78,5.99,4.34
202,84.17,3.77,0.47,6.31,5.28
203,82.05,3.61,1.52,6.74,6.08
204,81.05,3.98,1.05,6.91,7.02
205,79.5,3.56,2.41,7.53,7.01
206,76.57,3.73,2.68,7.58,9.44
207,74.67,3.32,3.98,7.96,10.08
208,72.54,3.88,4.16,8.46,10.96
209,70.47,3.12,5.04,8.75,12.61
210,67.9,3.03,5.71,8.74,14.62
211,64.89,3.1,6.88,9.47,15.66
212,61.96,2.36,8.7,9.6,17.39
213,58.89,2.57,9.88,9.68,18.97
214,56.55,2.62,10.26,9.83,20.74
215,52.62,1.9,12.62,9.52,23.33
216,48.9,2.2,13.2,9.54,26.16
217,47.14,1.56,14.32,9.64,27.34
218,44.35,1.69,16.1,9.04,28.81
219,40.66,1.51,18.07,8.73,31.02
220,37.81,1.25,20.94,8.75,31.25
221,86.63,3.32,-0.42,6.15,4.32
222,85.68,3.71,0.17,6.21,4.23
223,83.76,3.51,0.88,6.5,5.36
224,82.67,3.56,0.89,6.83,6.04
225,80.66,3.12,1.66,7.32,7.23
226,78.87,3.05,2.07,7.95,8.06
227,76.9,3.44,3.08,8.06,8.53
228,74.59,3.27,3.02,8.43,10.69
229,72.37,3.15,3.97,8.76,11.76
230,71.16,2.41,3.84,9.23,13.35
231,68.49,2.57,5.47,9.32,14.15
232,64.3,2.48,6.78,10.08,16.36
233,61.51,2.46,7.38,10.02,18.63
234,58.79,2.73,8.59,9.96,19.92
235,56.52,2.07,9.94,9.73,21.74
236,52.75,2.06,12.39,10.09,22.71
237,50.12,1.5,12.97,9.98,25.44
238,47.36,1.76,13.1,10.08,27.71
239,42.3,1.4,16.53,10.36,29.41
240,40.29,1.74,17.97,9.28,30.72
241,38.89,1.23,18.52,9.57,31.79
242,85.33,3.02,0.44,6.49,4.71
243,83.32,2.78,0.61,7.56,5.73
244,82.77,3.1,0.48,7.45,6.2
245,80.83,2.93,0.9,8.23,7.1
246,79.16,2.92,1.3,8.42,8.21
247,77.62,2.91,1.75,8.62,9.09
248,75.8,2.3,3.33,9.09,9.48
249,73.16,2.63,3.42,9.21,11.58
250,70.28,2.64,4.1,9.52,13.47
251,68.04,2.35,5.13,9.53,14.96
252,64.48,2.45,6.38,9.82,16.86
253,62.06,2.1,6.47,10.84,18.53
254,58.98,2.15,8.2,10.35,20.31
255,55.47,1.76,9.96,10.16,22.66
256,53.48,1.12,10.11,11.46,23.82
257,50.0,0.96,11.54,10.82,26.68
258,46.59,1.46,14.15,10.0,27.8
259,44.47,0.26,14.65,11.31,29.31
260,41.71,0.8,15.51,10.16,31.82
261,85.47,2.92,-0.09,7.0,4.69
262,84.07,2.88,0.68,6.95,5.42
263,83.12,2.75,0.0,7.85,6.28
264,80.59,2.57,1.52,8.09,7.23
265,79.93,2.56,0.78,8.81,7.92
266,77.35,2.53,1.93,8.67,9.52
267,75.18,2.05,3.01,9.04,10.72
268,72.68,2.03,2.8,9.66,12.83
269,70.04,2.53,3.66,9.99,13.78
270,67.71,1.34,4.17,11.01,15.77
271,65.02,1.32,6.44,10.4,16.83
272,62.59,1.46,6.2,11.31,18.43
273,58.59,1.34,7.25,11.45,21.37
274,56.16,1.25,8.77,11.06,22.76
275,53.1,0.86,9.21,11.78,25.05
276,49.26,1.23,11.08,11.58,26.85
277,46.49,0.97,12.35,11.38,28.81
278,43.85,1.12,13.13,10.89,31.01
279,41.26,0.57,14.9,10.89,32.38
280,83.2,2.49,0.69,7.63,6.0
281,82.68,2.14,0.68,8.17,6.32
282,80.3,2.29,1.09,8.56,7.76
283,79.37,1.84,1.62,8.86,8.32
284,77.51,2.08,2.19,9.11,9.11
285,74.14,2.29,3.44,9.17,10.96
286,72.24,1.59,3.72,9.96,12.48
287,70.06,1.58,3.01,10.89,14.47
288,67.84,1.17,4.24,11.11,15.64
289,65.55,1.0,5.02,11.2,17.22
290,62.32,1.58,5.63,11.09,19.37
291,59.51,1.69,6.21,12.05,20.53
292,56.12,1.48,8.02,12.03,22.36
293,52.59,1.04,8.7,11.8,25.88
294,49.66,0.46,10.57,12.18,27.13
295,47.34,-0.27,11.7,12.5,28.72
296,43.72,0.52,13.09,11.52,31.15
297,82.47,1.99,0.6,8.57,6.37
298,80.71,1.98,0.4,9.0,7.91
299,79.31,1.89,1.11,9.23,8.45
300,76.83,1.91,1.46,9.34,10.46
301,74.21,1.7,2.36,10.47,11.26
302,73.16,1.63,2.04,10.63,12.53
303,70.26,1.31,3.5,11.22,13.7
304,67.95,1.03,3.4,11.52,16.1
305,65.14,0.98,4.91,11.46,17.51
306,61.53,0.87,6.07,12.48,19.06
307,58.46,0.38,6.77,12.59,21.8
308,55.58,1.01,5.88,12.58,24.95
309,52.86,0.69,8.01,13.04,25.4
310,49.75,0.74,8.17,12.87,28.47
311,46.68,0.0,11.67,12.73,28.91
312,79.86,1.49,0.79,9.62,8.23
313,78.54,1.2,1.31,9.8,9.15
314,77.45,1.43,1.1,10.23,9.79
315,74.47,1.18,2.01,10.76,11.58
316,72.82,1.45,2.24,10.69,12.8
317,69.26,1.01,3.03,11.54,15.15
318,67.89,0.79,3.18,11.92,16.22
319,65.39,0.67,3.16,12.65,18.14
320,62.13,1.22,5.24,12.22,19.2
321,57.67,0.18,6.65,13.49,22.0
322,54.74,0.42,6.53,13.26,25.05
323,51.61,0.23,8.06,13.36,26.73
324,49.88,0.71,8.08,13.54,27.79
325,77.69,1.08,1.72,10.34,9.16
326,76.34,1.05,1.28,10.96,10.37
327,74.13,0.87,2.35,10.89,11.76
328,72.5,0.67,2.0,11.48,13.35
329,69.29,0.71,3.43,12.29,14.29
330,66.19,1.11,3.33,12.86,16.51
331,64.05,0.34,4.09,13.46,18.06
332,61.31,0.0,4.15,13.3,21.24
333,58.45,0.2,4.77,13.72,22.86
334,56.13,-0.62,6.24,14.35,23.91
335,52.56,0.67,6.68,13.36,26.73
336,73.33,1.28,1.67,11.41,12.31
337,72.74,0.42,1.55,12.43,12.85
338,69.31,0.15,1.98,13.13,15.42
339,66.1,0.62,2.48,13.16,17.65
340,63.85,0.0,3.24,13.67,19.24
341,60.3,0.0,4.82,14.1,20.78
342,57.56,0.58,4.65,14.15,23.06
