Index,Ag,Au,Pd,Pt
87,21.68,27.6,17.2,33.53
88,19.74,25.44,18.71,36.11
89,18.46,23.54,18.77,39.23
90,16.94,21.48,18.0,43.57
91,16.26,19.81,17.87,46.05
92,13.6,18.55,17.49,50.35
93,12.96,16.11,17.77,53.16
94,10.8,14.39,16.67,58.14
95,40.98,36.26,13.51,9.25
96,39.27,36.25,14.3,10.17
97,37.23,35.35,15.74,11.68
98,36.57,35.17,15.86,12.41
99,35.38,34.32,16.31,13.98
100,33.44,34.0,17.28,15.28
101,32.13,32.83,17.93,17.11
102,30.44,32.06,17.94,19.56
103,28.67,30.94,18.64,21.74
104,26.42,30.41,18.94,24.23
105,26.15,28.46,19.23,26.15
106,23.88,26.95,19.92,29.25
107,22.21,25.71,19.38,32.71
108,20.25,23.72,20.8,35.23
109,19.44,22.99,19.6,37.96
110,17.16,21.02,20.4,41.42
111,16.25,19.09,19.87,44.79
112,13.56,17.46,19.49,49.49
113,12.7,15.74,18.6,52.95
114,12.61,13.85,18.12,55.42
115,11.62,12.32,17.96,58.1
116,41.51,34.14,15.62,8.73
117,40.14,34.15,16.0,9.72
118,38.83,33.4,17.0,10.77
119,37.81,32.73,17.37,12.09
120,36.02,32.26,17.96,13.76
121,34.09,32.46,19.11,14.33
122,31.97,31.09,20.4,16.54
123,30.49,30.61,20.6,18.3
124,29.54,28.94,21.12,20.4
125,27.39,28.48,21.33,22.79
126,25.93,26.96,21.18,25.93
127,24.27,25.59,21.37,28.76
128,23.05,23.32,22.64,31.0
129,21.48,22.9,21.48,34.14
130,19.64,21.3,21.9,37.16
131,17.5,19.56,22.06,40.88
132,16.03,18.11,20.99,44.87
133,15.17,16.15,21.37,47.31
134,12.93,14.97,21.26,50.85
135,13.28,13.62,20.17,52.93
136,11.42,11.23,19.15,58.2
137,43.01,31.97,16.56,8.47
138,41.34,32.0,17.22,9.44
139,39.66,31.85,17.71,10.78
140,38.3,31.47,18.94,11.28
141,36.74,30.63,19.92,12.71
142,35.62,29.93,20.44,14.01
143,33.75,29.06,21.56,15.62
144,32.39,27.92,21.59,18.1
145,30.31,27.57,21.99,20.13
146,28.52,26.25,22.43,22.79
147,27.16,25.53,22.4,24.91
148,25.86,23.95,23.83,26.36
149,23.65,22.16,24.05,30.14
150,21.04,20.63,24.45,33.88
151,19.71,19.29,24.57,36.43
152,18.91,17.73,23.34,40.03
153,17.41,17.11,23.66,41.82
154,14.85,15.68,23.93,45.54
155,14.53,13.85,21.96,49.66
156,13.85,12.61,21.49,52.04
157,12.03,12.03,20.68,55.26
158,43.93,30.28,17.38,8.41
159,42.42,30.11,18.56,8.9
160,41.0,29.65,19.3,10.05
161,39.18,29.41,20.44,10.97
162,37.39,29.05,21.11,12.46
163,35.99,28.33,22.04,13.64
164,34.15,27.36,23.01,15.48
165,32.72,26.98,23.84,16.47
166,31.18,25.17,24.71,18.94
167,28.82,24.51,25.25,21.43
168,27.46,23.4,25.37,23.77
169,25.93,22.21,25.4,26.46
170,23.56,21.55,25.97,28.92
171,22.85,20.03,25.81,31.31
172,19.44,18.45,26.34,35.77
173,19.31,16.74,26.24,37.71
174,17.57,15.65,25.4,41.37
175,16.29,14.82,25.24,43.65
176,14.74,13.25,24.83,47.19
177,13.1,11.5,24.07,51.33
178,12.33,10.4,22.74,54.53
179,44.89,28.84,18.61,7.67
180,43.69,27.8,19.98,8.53
181,41.86,27.34,20.93,9.87
182,40.29,26.83,22.25,10.62
183,38.72,26.86,22.56,11.86
184,36.91,26.18,23.93,12.98
185,34.61,25.83,25.41,14.15
186,33.51,24.48,26.12,15.89
187,31.56,23.83,26.66,17.95
188,30.12,23.18,26.71,20.0
189,28.37,22.0,27.4,22.24
190,26.1,20.24,28.5,25.17
191,24.35,19.92,27.86,27.86
192,22.27,17.98,29.05,30.71
193,21.14,16.91,28.86,33.09
194,19.53,15.45,28.13,36.88
195,17.63,14.74,28.21,39.42
196,16.16,13.41,26.98,43.46
197,15.44,11.99,27.09,45.48
198,14.65,10.94,24.58,49.83
199,13.28,9.59,23.62,53.51
200,45.14,26.62,20.68,7.55
201,43.84,26.7,21.4,8.05
202,41.94,25.91,22.83,9.32
203,40.73,25.37,23.78,10.11
204,38.65,25.33,24.32,11.71
205,37.83,24.04,25.91,12.22
206,36.17,23.63,26.42,13.78
207,33.99,23.52,27.05,15.44
208,31.75,22.56,28.68,17.01
209,29.02,21.54,29.82,19.61
210,27.61,20.62,29.98,21.8
211,25.84,19.48,30.84,23.85
212,24.59,18.09,30.66,26.66
213,22.1,17.39,31.4,29.11
214,21.05,15.68,31.07,32.2
215,19.29,15.02,30.49,35.2
216,17.97,13.91,30.62,37.5
217,16.08,12.42,29.78,41.72
218,15.46,10.63,29.47,44.44
219,13.65,9.96,28.04,48.34
220,13.37,9.38,26.91,50.35
221,45.87,24.59,22.39,7.16
222,44.1,24.2,23.6,8.1
223,42.79,24.21,24.84,8.16
224,40.8,23.68,25.47,10.05
225,39.73,22.92,27.13,10.22
226,37.82,22.24,28.31,11.63
227,35.42,21.59,29.47,13.52
228,33.87,21.58,29.93,14.62
229,32.41,20.71,30.29,16.59
230,30.67,19.95,30.92,18.45
231,29.04,18.63,32.11,20.22
232,26.78,18.07,32.45,22.69
233,25.03,16.69,33.25,25.03
234,23.63,15.75,33.38,27.24
235,22.71,14.86,32.71,29.71
236,20.97,13.93,32.55,32.55
237,18.31,13.38,32.0,36.31
238,16.35,11.06,33.17,39.42
239,15.79,10.36,31.41,42.43
240,14.67,10.02,29.52,45.8
241,13.85,8.81,29.14,48.2
242,43.89,22.9,25.88,7.33
243,42.43,22.17,26.55,8.85
244,40.82,21.81,27.96,9.41
245,39.92,21.36,28.69,10.03
246,38.26,20.84,29.84,11.06
247,36.74,20.24,30.67,12.35
248,34.05,19.36,32.46,14.12
249,32.96,19.37,32.62,15.06
250,30.51,17.98,34.34,17.17
251,28.89,17.09,34.67,19.35
252,27.4,16.41,34.97,21.21
253,24.58,16.2,35.47,23.74
254,22.74,14.66,36.16,26.44
255,22.01,13.12,35.57,29.3
256,20.56,13.22,35.54,30.69
257,18.97,12.35,34.85,33.82
258,17.09,11.45,33.68,37.78
259,16.44,9.08,33.56,40.92
260,14.83,9.5,32.33,43.33
261,44.73,20.62,27.5,7.16
262,43.48,20.17,28.4,7.96
263,41.16,20.04,30.31,8.49
264,40.25,19.88,30.36,9.51
265,38.59,19.74,31.35,10.32
266,36.62,18.46,32.72,12.21
267,34.44,18.03,34.12,13.41
268,34.13,17.39,34.57,13.91
269,30.35,16.98,36.4,16.28
270,28.97,16.47,36.3,18.27
271,27.34,15.73,37.08,19.85
272,25.23,15.01,38.16,21.6
273,23.93,13.37,38.5,24.2
274,21.69,13.54,38.14,26.64
275,20.72,11.77,37.41,30.1
276,18.12,10.94,38.28,32.66
277,17.13,10.03,37.2,35.64
278,15.9,9.36,35.69,39.05
279,14.94,8.66,34.97,41.43
280,43.81,18.86,29.81,7.52
281,41.52,18.46,31.94,8.08
282,40.42,17.48,32.87,9.24
283,38.47,17.65,34.08,9.8
284,36.55,17.13,35.62,10.7
285,34.72,16.65,36.25,12.38
286,32.76,15.81,37.69,13.75
287,31.33,15.03,38.38,15.26
288,30.0,14.51,38.66,16.83
289,28.29,14.73,38.11,18.86
290,25.44,13.59,40.11,20.86
291,23.78,12.38,40.75,23.09
292,21.68,11.84,40.94,25.53
293,20.43,11.49,39.86,28.23
294,19.17,10.43,39.88,30.52
295,17.48,10.42,39.33,32.77
296,16.43,8.3,39.05,36.22
297,42.21,16.54,33.65,7.6
298,40.2,16.38,35.08,8.34
299,38.41,15.82,36.62,9.15
300,36.31,15.77,37.66,10.27
301,34.53,14.92,38.78,11.76
302,32.94,14.98,39.12,12.96
303,31.01,13.96,40.71,14.32
304,30.29,13.26,40.51,15.94
305,27.34,12.78,41.9,17.97
306,26.09,12.05,42.38,19.47
307,24.42,11.38,42.58,21.61
308,21.69,11.14,43.09,24.07
309,20.9,9.62,43.16,26.32
310,19.06,9.12,43.0,28.83
311,17.65,9.17,41.87,31.31
312,40.25,15.12,36.81,7.82
313,38.54,14.35,38.33,8.78
314,36.15,14.36,40.02,9.47
315,34.88,13.8,40.18,11.15
316,32.63,13.31,41.81,12.25
317,31.6,12.97,42.22,13.21
318,28.54,12.92,44.16,14.39
319,26.74,11.79,44.36,17.11
320,24.77,12.32,45.14,17.77
321,23.42,11.08,45.44,20.06
322,22.19,10.36,45.11,22.34
323,20.94,10.0,44.69,24.38
324,19.18,9.67,45.01,26.15
325,38.14,13.5,39.57,8.79
326,35.9,13.46,41.77,8.87
327,34.54,12.42,42.78,10.27
328,32.51,12.65,44.33,10.52
329,30.24,12.02,45.0,12.74
330,28.16,12.16,46.03,13.65
331,26.95,11.32,46.77,14.96
332,25.8,10.74,46.86,16.6
333,23.27,9.43,48.31,19.0
334,21.66,9.16,48.4,20.78
335,20.79,8.73,46.98,23.49
336,33.98,12.0,44.73,9.29
337,31.21,11.23,46.81,10.76
338,30.06,11.14,46.95,11.86
339,27.94,10.65,48.37,13.03
340,26.9,10.19,48.64,14.27
341,25.4,9.26,49.34,16.01
342,23.11,9.52,50.15,17.22
