Index,Ag,Au
133,21.91,78.09
134,18.93,81.07
135,17.03,82.97
136,14.68,85.32
137,84.19,15.81
138,82.12,17.88
139,79.51,20.49
140,77.04,22.96
141,73.29,26.71
142,69.95,30.05
143,66.54,33.46
144,62.3,37.7
145,57.7,42.3
146,53.48,46.52
147,49.07,50.93
148,44.28,55.72
149,40.09,59.91
150,36.56,63.44
151,32.37,67.63
152,28.49,71.51
153,25.41,74.59
154,22.39,77.61
155,19.45,80.55
156,17.39,82.61
157,16.1,83.9
158,84.83,15.17
159,82.87,17.13
160,80.18,19.82
161,77.54,22.46
162,74.59,25.41
163,71.23,28.77
164,67.16,32.84
165,62.88,37.12
166,59.09,40.91
167,54.87,45.13
168,50.34,49.66
169,45.82,54.18
170,41.07,58.93
171,37.64,62.36
172,33.29,66.71
173,29.53,70.47
174,26.42,73.58
175,23.06,76.94
176,20.96,79.04
177,19.05,80.95
178,16.52,83.48
179,85.65,14.35
180,83.36,16.64
181,81.15,18.85
182,78.42,21.58
183,75.6,24.4
184,71.99,28.01
185,68.16,31.84
186,64.46,35.54
187,60.24,39.76
188,56.1,43.9
189,51.61,48.39
190,46.6,53.4
191,42.47,57.53
192,37.55,62.45
193,34.54,65.46
194,31.27,68.73
195,27.61,72.39
196,24.39,75.61
197,21.05,78.95
198,19.52,80.48
199,16.76,83.24
200,86.27,13.73
201,83.95,16.05
202,81.93,18.07
203,78.98,21.02
204,75.91,24.09
205,72.9,27.1
206,69.37,30.63
207,65.96,34.04
208,61.47,38.53
209,57.16,42.84
210,52.45,47.55
211,48.5,51.5
212,44.2,55.8
213,39.68,60.32
214,35.07,64.93
215,31.16,68.84
216,28.24,71.76
217,25.19,74.81
218,22.51,77.49
219,20.7,79.3
220,18.86,81.14
221,86.6,13.4
222,84.61,15.39
223,82.32,17.68
224,79.6,20.4
225,76.96,23.04
226,74.02,25.98
227,70.22,29.78
228,66.56,33.44
229,62.59,37.41
230,58.58,41.42
231,54.12,45.88
232,49.77,50.23
233,45.34,54.66
234,41.12,58.88
235,36.63,63.37
236,33.16,66.84
237,29.45,70.55
238,26.07,73.93
239,23.19,76.81
240,21.26,78.74
241,19.06,80.94
242,85.18,14.82
243,82.84,17.16
244,80.7,19.3
245,77.94,22.06
246,75.19,24.81
247,71.7,28.3
248,68.04,31.96
249,63.8,36.2
250,59.75,40.25
251,55.66,44.34
252,50.68,49.32
253,46.67,53.33
254,42.14,57.86
255,38.02,61.98
256,34.26,65.74
257,30.99,69.01
258,27.03,72.97
259,25.11,74.89
260,21.2,78.8
261,85.75,14.25
262,83.56,16.44
263,81.2,18.8
264,78.97,21.03
265,75.95,24.05
266,72.49,27.51
267,69.22,30.78
268,65.46,34.54
269,61.17,38.83
270,56.98,43.02
271,52.67,47.33
272,48.34,51.66
273,43.72,56.28
274,39.39,60.61
275,35.6,64.4
276,31.41,68.59
277,28.5,71.5
278,25.06,74.94
279,23.05,76.95
280,84.16,15.84
281,82.01,17.99
282,79.48,20.52
283,76.82,23.18
284,73.67,26.33
285,70.35,29.65
286,65.86,34.14
287,62.83,37.17
288,57.87,42.13
289,54.09,45.91
290,49.73,50.27
291,45.88,54.12
292,40.64,59.36
293,37.03,62.97
294,33.49,66.51
295,29.78,70.22
296,26.81,73.19
297,82.85,17.15
298,80.25,19.75
299,77.62,22.38
300,74.36,25.64
301,70.74,29.26
302,67.74,32.26
303,63.94,36.06
304,59.89,40.11
305,55.59,44.41
306,50.54,49.46
307,47.19,52.81
308,42.6,57.4
309,39.32,60.68
310,34.6,65.4
311,31.02,68.98
312,80.85,19.15
313,78.37,21.63
314,75.27,24.73
315,72.32,27.68
316,68.44,31.56
317,64.95,35.05
318,61.01,38.99
319,56.53,43.47
320,53.02,46.98
321,48.44,51.56
322,44.53,55.47
323,40.76,59.24
324,36.39,63.61
325,79.03,20.97
326,76.44,23.56
327,73.27,26.73
328,69.52,30.48
329,66.13,33.87
330,62.42,37.58
331,58.2,41.8
332,54.14,45.86
333,50.03,49.97
334,45.88,54.12
335,41.68,58.32
336,74.2,25.8
337,70.98,29.02
338,67.74,32.26
339,63.66,36.34
340,59.43,40.57
341,55.57,44.43
342,51.09,48.91
